Starting Experiment
Experiment Path: experiments\exp_010_resunet
Epoch 099/150 | LR: 2.83e-05 | Loss: 0.1383 | Dice: 0.1112 | CE: 0.0268 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.934 | C2:0.898 | C3:0.907]
Epoch 100/150 | LR: 2.73e-05 | Loss: 0.1433 | Dice: 0.1171 | CE: 0.0259 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.937 | C2:0.892 | C3:0.902]
Epoch 101/150 | LR: 2.64e-05 | Loss: 0.1375 | Dice: 0.1097 | CE: 0.0275 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.935 | C2:0.897 | C3:0.913]
Epoch 102/150 | LR: 2.54e-05 | Loss: 0.1308 | Dice: 0.1043 | CE: 0.0262 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.938 | C2:0.905 | C3:0.906]
Epoch 103/150 | LR: 2.45e-05 | Loss: 0.1363 | Dice: 0.1096 | CE: 0.0265 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.937 | C2:0.905 | C3:0.902]
Epoch 104/150 | LR: 2.36e-05 | Loss: 0.1363 | Dice: 0.1081 | CE: 0.0279 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.939 | C2:0.904 | C3:0.913]
Epoch 105/150 | LR: 2.27e-05 | Loss: 0.1362 | Dice: 0.1103 | CE: 0.0256 | Focal: 0.0005 | PerClass [C0:0.999 | C1:0.942 | C2:0.898 | C3:0.911]
Epoch 106/150 | LR: 2.18e-05 | Loss: 0.1329 | Dice: 0.1069 | CE: 0.0258 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.939 | C2:0.903 | C3:0.911]
Epoch 107/150 | LR: 2.10e-05 | Loss: 0.1300 | Dice: 0.1047 | CE: 0.0251 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.943 | C2:0.901 | C3:0.909]
Epoch 108/150 | LR: 2.01e-05 | Loss: 0.1289 | Dice: 0.1031 | CE: 0.0256 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.941 | C2:0.902 | C3:0.914]
Epoch 109/150 | LR: 1.93e-05 | Loss: 0.1267 | Dice: 0.1009 | CE: 0.0256 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.942 | C2:0.907 | C3:0.920]
Epoch 110/150 | LR: 1.85e-05 | Loss: 0.1320 | Dice: 0.1052 | CE: 0.0266 | Focal: 0.0005 | PerClass [C0:0.999 | C1:0.940 | C2:0.903 | C3:0.909]
Epoch 111/150 | LR: 1.76e-05 | Loss: 0.1346 | Dice: 0.1097 | CE: 0.0247 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.942 | C2:0.900 | C3:0.913]
Epoch 112/150 | LR: 1.69e-05 | Loss: 0.1285 | Dice: 0.1038 | CE: 0.0245 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.941 | C2:0.906 | C3:0.907]
Epoch 113/150 | LR: 1.61e-05 | Loss: 0.1279 | Dice: 0.1025 | CE: 0.0252 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.939 | C2:0.908 | C3:0.921]
Epoch 114/150 | LR: 1.53e-05 | Loss: 0.1275 | Dice: 0.1012 | CE: 0.0260 | Focal: 0.0005 | PerClass [C0:0.999 | C1:0.942 | C2:0.908 | C3:0.919]
Epoch 115/150 | LR: 1.46e-05 | Loss: 0.1236 | Dice: 0.0985 | CE: 0.0249 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.943 | C2:0.910 | C3:0.921]
Epoch 116/150 | LR: 1.38e-05 | Loss: 0.1293 | Dice: 0.1047 | CE: 0.0244 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.941 | C2:0.903 | C3:0.910]
Epoch 117/150 | LR: 1.31e-05 | Loss: 0.1239 | Dice: 0.0985 | CE: 0.0252 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.944 | C2:0.904 | C3:0.917]
Epoch 118/150 | LR: 1.24e-05 | Loss: 0.1229 | Dice: 0.0978 | CE: 0.0248 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.946 | C2:0.904 | C3:0.917]
Epoch 119/150 | LR: 1.18e-05 | Loss: 0.1267 | Dice: 0.1024 | CE: 0.0240 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.946 | C2:0.913 | C3:0.922]
Epoch 120/150 | LR: 1.11e-05 | Loss: 0.1239 | Dice: 0.0997 | CE: 0.0240 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.950 | C2:0.907 | C3:0.914]
Epoch 121/150 | LR: 1.05e-05 | Loss: 0.1261 | Dice: 0.1011 | CE: 0.0248 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.941 | C2:0.906 | C3:0.918]
Epoch 122/150 | LR: 9.83e-06 | Loss: 0.1237 | Dice: 0.0994 | CE: 0.0241 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.947 | C2:0.913 | C3:0.920]
Epoch 123/150 | LR: 9.23e-06 | Loss: 0.1264 | Dice: 0.1020 | CE: 0.0242 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.944 | C2:0.906 | C3:0.913]
Epoch 124/150 | LR: 8.65e-06 | Loss: 0.1237 | Dice: 0.0996 | CE: 0.0239 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.940 | C2:0.913 | C3:0.917]
Epoch 125/150 | LR: 8.09e-06 | Loss: 0.1197 | Dice: 0.0952 | CE: 0.0243 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.945 | C2:0.916 | C3:0.917]
Epoch 126/150 | LR: 7.54e-06 | Loss: 0.1220 | Dice: 0.0979 | CE: 0.0239 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.942 | C2:0.911 | C3:0.925]
Epoch 127/150 | LR: 7.02e-06 | Loss: 0.1226 | Dice: 0.0990 | CE: 0.0234 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.947 | C2:0.911 | C3:0.916]
Epoch 128/150 | LR: 6.52e-06 | Loss: 0.1228 | Dice: 0.0994 | CE: 0.0232 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.947 | C2:0.910 | C3:0.925]
Epoch 129/150 | LR: 6.04e-06 | Loss: 0.1257 | Dice: 0.1022 | CE: 0.0233 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.943 | C2:0.912 | C3:0.916]
Epoch 130/150 | LR: 5.58e-06 | Loss: 0.1193 | Dice: 0.0956 | CE: 0.0234 | Focal: 0.0004 | PerClass [C0:0.999 | C1:0.946 | C2:0.915 | C3:0.915]
