Starting Experiment
Experiment Path: experiments\exp_007_attention_unet_v1
Epoch 066 | LR: 5.98e-05 | Loss: 0.5002 | Dice: 0.4525 | CE: 0.0473 | Focal: 0.0009
Epoch 067 | LR: 5.88e-05 | Loss: 0.5093 | Dice: 0.4604 | CE: 0.0485 | Focal: 0.0009
Epoch 068 | LR: 5.77e-05 | Loss: 0.4978 | Dice: 0.4516 | CE: 0.0458 | Focal: 0.0008
Epoch 069 | LR: 5.67e-05 | Loss: 0.5035 | Dice: 0.4572 | CE: 0.0459 | Focal: 0.0008
Epoch 070 | LR: 5.57e-05 | Loss: 0.5036 | Dice: 0.4558 | CE: 0.0474 | Focal: 0.0009
Epoch 071 | LR: 5.46e-05 | Loss: 0.5039 | Dice: 0.4560 | CE: 0.0475 | Focal: 0.0009
Epoch 072 | LR: 5.36e-05 | Loss: 0.4924 | Dice: 0.4463 | CE: 0.0457 | Focal: 0.0008
Epoch 073 | LR: 5.26e-05 | Loss: 0.4944 | Dice: 0.4482 | CE: 0.0458 | Focal: 0.0008
Epoch 074 | LR: 5.15e-05 | Loss: 0.4997 | Dice: 0.4545 | CE: 0.0448 | Focal: 0.0008
Epoch 075 | LR: 5.05e-05 | Loss: 0.4900 | Dice: 0.4447 | CE: 0.0449 | Focal: 0.0008
Epoch 076 | LR: 4.95e-05 | Loss: 0.4911 | Dice: 0.4448 | CE: 0.0458 | Focal: 0.0008
Epoch 077 | LR: 4.84e-05 | Loss: 0.4901 | Dice: 0.4435 | CE: 0.0462 | Focal: 0.0008
Epoch 078 | LR: 4.74e-05 | Loss: 0.4920 | Dice: 0.4464 | CE: 0.0452 | Focal: 0.0008
Epoch 079 | LR: 4.64e-05 | Loss: 0.4878 | Dice: 0.4441 | CE: 0.0433 | Focal: 0.0008
Epoch 080 | LR: 4.53e-05 | Loss: 0.4857 | Dice: 0.4417 | CE: 0.0437 | Focal: 0.0008
Epoch 081 | LR: 4.43e-05 | Loss: 0.4881 | Dice: 0.4436 | CE: 0.0440 | Focal: 0.0008
Epoch 082 | LR: 4.33e-05 | Loss: 0.4892 | Dice: 0.4461 | CE: 0.0427 | Focal: 0.0008
Epoch 083 | LR: 4.22e-05 | Loss: 0.4900 | Dice: 0.4456 | CE: 0.0440 | Focal: 0.0008
Epoch 084 | LR: 4.12e-05 | Loss: 0.4932 | Dice: 0.4503 | CE: 0.0425 | Focal: 0.0008
Epoch 085 | LR: 4.02e-05 | Loss: 0.4874 | Dice: 0.4442 | CE: 0.0428 | Focal: 0.0008
Epoch 086 | LR: 3.92e-05 | Loss: 0.4872 | Dice: 0.4439 | CE: 0.0429 | Focal: 0.0008
Epoch 087 | LR: 3.82e-05 | Loss: 0.4832 | Dice: 0.4411 | CE: 0.0416 | Focal: 0.0008
Epoch 088 | LR: 3.72e-05 | Loss: 0.4893 | Dice: 0.4473 | CE: 0.0416 | Focal: 0.0008
Epoch 089 | LR: 3.62e-05 | Loss: 0.4758 | Dice: 0.4336 | CE: 0.0418 | Focal: 0.0008
Epoch 090 | LR: 3.52e-05 | Loss: 0.4799 | Dice: 0.4385 | CE: 0.0410 | Focal: 0.0007
Epoch 091 | LR: 3.42e-05 | Loss: 0.4839 | Dice: 0.4423 | CE: 0.0412 | Focal: 0.0008
Epoch 092 | LR: 3.32e-05 | Loss: 0.4795 | Dice: 0.4378 | CE: 0.0414 | Focal: 0.0008
Epoch 093 | LR: 3.23e-05 | Loss: 0.4783 | Dice: 0.4375 | CE: 0.0404 | Focal: 0.0007
Epoch 094 | LR: 3.13e-05 | Loss: 0.4790 | Dice: 0.4375 | CE: 0.0411 | Focal: 0.0007
Epoch 095 | LR: 3.04e-05 | Loss: 0.4717 | Dice: 0.4312 | CE: 0.0401 | Focal: 0.0007
Epoch 096 | LR: 2.94e-05 | Loss: 0.4706 | Dice: 0.4292 | CE: 0.0410 | Focal: 0.0007
Epoch 097 | LR: 2.85e-05 | Loss: 0.4749 | Dice: 0.4359 | CE: 0.0387 | Focal: 0.0007
Epoch 098 | LR: 2.76e-05 | Loss: 0.4670 | Dice: 0.4268 | CE: 0.0398 | Focal: 0.0007
Epoch 099 | LR: 2.67e-05 | Loss: 0.4752 | Dice: 0.4349 | CE: 0.0399 | Focal: 0.0007
Epoch 100 | LR: 2.57e-05 | Loss: 0.4710 | Dice: 0.4314 | CE: 0.0393 | Focal: 0.0007
