Starting Experiment
Experiment Path: experiments\exp_008_unetpp_v1
Epoch 096 | LR: 5.36e-05 | Loss: 0.4821 | Dice: 0.4394 | CE: 0.0423 | Focal: 0.0008
Epoch 097 | LR: 5.28e-05 | Loss: 0.4841 | Dice: 0.4427 | CE: 0.0411 | Focal: 0.0007
Epoch 098 | LR: 5.21e-05 | Loss: 0.4773 | Dice: 0.4347 | CE: 0.0422 | Focal: 0.0008
Epoch 099 | LR: 5.13e-05 | Loss: 0.4757 | Dice: 0.4345 | CE: 0.0408 | Focal: 0.0007
Epoch 100 | LR: 5.05e-05 | Loss: 0.4833 | Dice: 0.4404 | CE: 0.0425 | Focal: 0.0008
Epoch 101 | LR: 4.97e-05 | Loss: 0.4752 | Dice: 0.4313 | CE: 0.0435 | Focal: 0.0008
Epoch 102 | LR: 4.89e-05 | Loss: 0.4331 | Dice: 0.3788 | CE: 0.0538 | Focal: 0.0011
Epoch 103 | LR: 4.82e-05 | Loss: 0.3530 | Dice: 0.2886 | CE: 0.0638 | Focal: 0.0013
Epoch 104 | LR: 4.74e-05 | Loss: 0.2990 | Dice: 0.2393 | CE: 0.0591 | Focal: 0.0012
Epoch 105 | LR: 4.66e-05 | Loss: 0.2888 | Dice: 0.2268 | CE: 0.0614 | Focal: 0.0012
Epoch 106 | LR: 4.58e-05 | Loss: 0.2704 | Dice: 0.2091 | CE: 0.0607 | Focal: 0.0012
Epoch 107 | LR: 4.51e-05 | Loss: 0.2475 | Dice: 0.1911 | CE: 0.0558 | Focal: 0.0011
Epoch 108 | LR: 4.43e-05 | Loss: 0.2468 | Dice: 0.1886 | CE: 0.0576 | Focal: 0.0011
Epoch 109 | LR: 4.35e-05 | Loss: 0.2455 | Dice: 0.1895 | CE: 0.0555 | Focal: 0.0011
Epoch 110 | LR: 4.28e-05 | Loss: 0.2347 | Dice: 0.1753 | CE: 0.0588 | Focal: 0.0012
Epoch 111 | LR: 4.20e-05 | Loss: 0.2337 | Dice: 0.1786 | CE: 0.0546 | Focal: 0.0011
Epoch 112 | LR: 4.12e-05 | Loss: 0.2259 | Dice: 0.1680 | CE: 0.0574 | Focal: 0.0011
Epoch 113 | LR: 4.05e-05 | Loss: 0.2247 | Dice: 0.1688 | CE: 0.0554 | Focal: 0.0011
Epoch 114 | LR: 3.97e-05 | Loss: 0.2195 | Dice: 0.1671 | CE: 0.0519 | Focal: 0.0010
Epoch 115 | LR: 3.89e-05 | Loss: 0.2136 | Dice: 0.1632 | CE: 0.0499 | Focal: 0.0010
Epoch 116 | LR: 3.82e-05 | Loss: 0.2270 | Dice: 0.1687 | CE: 0.0577 | Focal: 0.0011
Epoch 117 | LR: 3.74e-05 | Loss: 0.2320 | Dice: 0.1714 | CE: 0.0600 | Focal: 0.0012
Epoch 118 | LR: 3.67e-05 | Loss: 0.2099 | Dice: 0.1590 | CE: 0.0504 | Focal: 0.0010
Epoch 119 | LR: 3.59e-05 | Loss: 0.2062 | Dice: 0.1555 | CE: 0.0501 | Focal: 0.0010
Epoch 120 | LR: 3.52e-05 | Loss: 0.2120 | Dice: 0.1604 | CE: 0.0510 | Focal: 0.0010
Epoch 121 | LR: 3.45e-05 | Loss: 0.2119 | Dice: 0.1580 | CE: 0.0534 | Focal: 0.0011
Epoch 122 | LR: 3.37e-05 | Loss: 0.2078 | Dice: 0.1585 | CE: 0.0488 | Focal: 0.0009
Epoch 123 | LR: 3.30e-05 | Loss: 0.2155 | Dice: 0.1627 | CE: 0.0523 | Focal: 0.0010
Epoch 124 | LR: 3.23e-05 | Loss: 0.2090 | Dice: 0.1583 | CE: 0.0502 | Focal: 0.0010
Epoch 125 | LR: 3.16e-05 | Loss: 0.2038 | Dice: 0.1520 | CE: 0.0513 | Focal: 0.0010
Epoch 126 | LR: 3.08e-05 | Loss: 0.2040 | Dice: 0.1523 | CE: 0.0511 | Focal: 0.0010
Epoch 127 | LR: 3.01e-05 | Loss: 0.1972 | Dice: 0.1501 | CE: 0.0466 | Focal: 0.0009
